transaction_id,transaction_date,year,quarter,month,month_name,customer_id,branch,customer_segment,product_category,product_name,membership_plan,sales_channel,payment_method,campaign,quantity,unit_price_gbp,discount_pct,gross_revenue_gbp,discount_amount_gbp,net_revenue_gbp,estimated_cost_gbp,profit_gbp,is_recurring_payment
TXN-C6DB0067FB6A47A293A96406228B7A0B,2015-01-28,2015,Q1,1,January,CUST-EF2D02155AF748CF886FA1EC437D897C,City Centre,Student,Membership,Annual Basic Membership,Basic Annual,Front Desk,Card,No Campaign,1,467.49,0.0,467.49,0.0,467.49,113.22,354.27,False
TXN-1A4954064530496B85D77D1883000B15,2015-01-29,2015,Q1,1,January,CUST-F22DF63041F54A4D9F234F1A1867D973,City Centre,Corporate,Membership,Monthly Basic Membership,Basic Monthly,Front Desk,Card,New Year Campaign,1,46.81,0.15,46.81,7.02,39.79,15.35,24.44,False
TXN-4FC8852A94614C258B8313DAB6B4847B,2015-01-29,2015,Q1,1,January,CUST-0CF2819310DC44FFA4211587AB1AAA60,Riverside,Corporate,Membership,Monthly Basic Membership,Basic Monthly,Website,Direct Debit,New Year Campaign,1,44.87,0.15,44.87,6.73,38.14,14.73,23.41,True
TXN-551D3F6B114F488791719BB54ACEF216,2015-01-29,2015,Q1,1,January,CUST-E57E4E18F0DF4BD798092BE1AD1CAD89,Northside,Student,Membership,Monthly Basic Membership,Basic Monthly,Front Desk,Direct Debit,New Year Campaign,1,44.13,0.1,44.13,4.41,39.72,13.9,25.82,True
TXN-E1F7F17385BF4B5F9CE7BC257B4D836F,2015-01-29,2015,Q1,1,January,CUST-BF9393FEA1454CDA8CF1527A68700E07,Riverside,Family,Membership,Monthly Basic Membership,Basic Monthly,Front Desk,Direct Debit,New Year Campaign,1,45.39,0.15,45.39,6.81,38.58,14.1,24.48,False
TXN-95105FDECB1747A8B425F78F45C4A692,2015-01-30,2015,Q1,1,January,CUST-5EF22D23C72D4413B1AC16EC46895D9B,Riverside,Student,Membership,Student Membership,Student Monthly,Website,Digital Wallet,No Campaign,1,32.05,0.0,32.05,0.0,32.05,10.67,21.38,True
TXN-95C8FBF9AB814E6882F7E1FF87D7D318,2015-01-30,2015,Q1,1,January,CUST-910B728573CD4981AD9CD1D28F32CE83,Riverside,Student,Membership,Monthly Premium Membership,Premium Monthly,Website,Direct Debit,No Campaign,1,63.79,0.0,63.79,0.0,63.79,21.65,42.14,True
TXN-30486722664D4FAB97D155FDC670F2E1,2015-01-31,2015,Q1,1,January,CUST-595D76A47FDD45B68191EB2E186A6BB0,Riverside,Student,Membership,Student Membership,Student Monthly,Corporate Partner,Direct Debit,New Year Campaign,1,32.29,0.15,32.29,4.84,27.45,10.94,16.51,True
TXN-48CCE33F487748A3A41A923281C17AE2,2015-01-31,2015,Q1,1,January,CUST-5BDCA73736F049D8B3BEFCCA027D013B,City Centre,General,Personal Training,10-Session Personal Training Package,Not Applicable,Front Desk,Card,New Year Campaign,1,365.6,0.15,365.6,54.84,310.76,142.53,168.23,False
TXN-15CABB661B8A4C6596A73F1C9427C608,2015-02-02,2015,Q1,2,February,CUST-F384039EE9F64670A6AF35AF11B7B3F5,City Centre,General,Supplement,Energy Drink,Not Applicable,Front Desk,Card,No Campaign,1,3.58,0.0,3.58,0.0,3.58,3.44,0.14,False
TXN-6C76108F1406437AB8B54D497326AD25,2015-02-02,2015,Q1,2,February,CUST-C6E359A959884004B082F71C033D987F,City Centre,General,Supplement,Protein Powder,Not Applicable,Website,Card,No Campaign,1,33.0,0.0,33.0,0.0,33.0,25.38,7.62,False
TXN-B76F37F25AF04BC4BE1733B5445A5E9A,2015-02-02,2015,Q1,2,February,CUST-7CF1A29106344480AA87E09D61482A4C,City Centre,Family,Membership,Monthly Basic Membership,Basic Monthly,Corporate Partner,Bank Transfer,No Campaign,1,46.15,0.03,46.15,1.38,44.77,15.15,29.62,False
TXN-51291F2578FE4F6FA9213F8BA8582390,2015-02-03,2015,Q1,2,February,CUST-D6B03057006F4B4AA9572B86D8000798,City Centre,Student,Merchandise,Gym Bag,Not Applicable,Front Desk,Card,No Campaign,1,28.6,0.0,28.6,0.0,28.6,21.44,7.16,False
TXN-6287DD9754744CE9A3C627242585F767,2015-02-04,2015,Q1,2,February,CUST-127751E6F8B34796B409CA41EEE7A0AC,Northside,Student,Group Class,HIIT Class,Not Applicable,Front Desk,Card,Referral Programme,2,14.81,0.1,29.62,2.96,26.66,15.32,11.34,False
TXN-79AC25B27F83473783FACF7814F56D04,2015-02-05,2015,Q1,2,February,CUST-11A550868357427089E4AFA5580149DB,Northside,Young Professional,Supplement,Protein Powder,Not Applicable,Website,Card,No Campaign,2,31.52,0.0,63.04,0.0,63.04,41.88,21.16,False
TXN-87A0851F2FC94FBC9386F81B1E5B1BFB,2015-02-05,2015,Q1,2,February,CUST-C9C2236B787745558D5A34D2E5D2F4DA,Riverside,Corporate,Merchandise,Gym T-Shirt,Not Applicable,Website,Bank Transfer,Referral Programme,1,21.62,0.05,21.62,1.08,20.54,16.7,3.84,False
TXN-B360C8F045874858ADB7833F840649D1,2015-02-05,2015,Q1,2,February,CUST-D677242CB8EB442FA97681D74FA4CE02,City Centre,General,Personal Training,Single Personal Training Session,Not Applicable,Front Desk,Cash,No Campaign,1,43.95,0.0,43.95,0.0,43.95,21.83,22.12,False
TXN-2605CC72B07D47C7A5DD8413B2031A10,2015-02-06,2015,Q1,2,February,CUST-7D9D3DBB7AC64E3FBAE528A028CFF07E,City Centre,Student,Membership,Student Membership,Student Monthly,Website,Card,No Campaign,1,32.63,0.0,32.63,0.0,32.63,11.37,21.26,True
TXN-3DE7E22D35804954A394FEC5E2F07EFC,2015-02-07,2015,Q1,2,February,CUST-5EB4748D41534CB3BD617CD295C5267B,City Centre,Student,Supplement,Protein Powder,Not Applicable,Front Desk,Card,No Campaign,2,33.08,0.05,66.16,3.31,62.85,45.32,17.53,False
TXN-54658E442CC240E0ACD2EDE9E6DE1944,2015-02-08,2015,Q1,2,February,CUST-7D389CBA9F6245A3BD777447EB08D1FC,Riverside,Young Professional,Membership,Monthly Premium Membership,Premium Monthly,Website,Direct Debit,No Campaign,1,63.97,0.0,63.97,0.0,63.97,21.49,42.48,True
TXN-1674BB96D9B44C4598476D77303C5C2F,2015-02-09,2015,Q1,2,February,CUST-7539E80494C9452CB2F8513A3AF13300,City Centre,Young Professional,Membership,Annual Basic Membership,Basic Annual,Telephone,Card,No Campaign,1,465.79,0.0,465.79,0.0,465.79,111.05,354.74,False
TXN-72BA1E80F4FD4768B8C9B3F04BCD4D6B,2015-02-09,2015,Q1,2,February,CUST-6B9C2FF60BF943B98FD7082CAC67A1B6,City Centre,Family,Merchandise,Gym Bag,Not Applicable,Front Desk,Direct Debit,No Campaign,1,28.38,0.0,28.38,0.0,28.38,21.37,7.01,False
TXN-BA5A1BE75A8C435DA33F16359F54B2FE,2015-02-09,2015,Q1,2,February,CUST-B86DBCDE66424F9A99A7494DDB593CEF,Riverside,Young Professional,Supplement,Energy Drink,Not Applicable,Telephone,Card,No Campaign,1,3.49,0.0,3.49,0.0,3.49,3.35,0.14,False
TXN-DAC1293954A54EC794295703FC39C578,2015-02-10,2015,Q1,2,February,CUST-E9F45B8907EB4D79A3B7F55834ED0CEF,City Centre,General,Group Class,Spin Class,Not Applicable,Front Desk,Cash,No Campaign,3,14.52,0.05,43.56,2.18,41.38,20.68,20.7,False
TXN-E2D601DEBCBA445A915830791678A322,2015-02-10,2015,Q1,2,February,CUST-9D951FFB65734BC4A3D11898AFB00744,Riverside,General,Membership,Monthly Basic Membership,Basic Monthly,Front Desk,Direct Debit,No Campaign,1,45.7,0.03,45.7,1.37,44.33,14.55,29.78,True
TXN-F2F900996DD6416A89B0454D0ECBA431,2015-02-10,2015,Q1,2,February,CUST-78962D1E9075422F9CB0B54A03D58CED,City Centre,Family,Group Class,Spin Class,Not Applicable,Front Desk,Cash,No Campaign,1,14.49,0.0,14.49,0.0,14.49,10.04,4.45,False
TXN-02C5A41ADFED4640BE4719A751A2542E,2015-02-11,2015,Q1,2,February,CUST-19233255657C40FC8A58E64407C0AD7C,City Centre,Young Professional,Membership,Monthly Premium Membership,Premium Monthly,Front Desk,Direct Debit,No Campaign,1,67.02,0.03,67.02,2.01,65.01,23.56,41.45,True
TXN-29472B0E9FF84B37B1129D8E0E3AEA92,2015-02-11,2015,Q1,2,February,CUST-A858C776D2A748F0ADA4ECF86CA827CF,City Centre,General,Membership,Annual Basic Membership,Basic Annual,Corporate Partner,Card,No Campaign,1,470.87,0.0,470.87,0.0,470.87,109.01,361.86,False
TXN-40B917D62A334F91A5EFDF113BDA0047,2015-02-11,2015,Q1,2,February,CUST-4790911546C142E3A2A1CA515FCB21C5,Riverside,Student,Joining Fee,Joining Fee,Not Applicable,Website,Card,No Campaign,1,30.48,0.03,30.48,0.91,29.57,7.65,21.92,False
TXN-C5F8D4C1276C48B79203463A2E198274,2015-02-12,2015,Q1,2,February,CUST-244497BC77F3482DB08887E59A22013C,Northside,Young Professional,Membership,Annual Basic Membership,Basic Annual,Website,Card,No Campaign,1,442.4,0.03,442.4,13.27,429.13,103.22,325.91,False
TXN-FFFE3E28BE534E4AA5D36953BFE59E4D,2015-02-12,2015,Q1,2,February,CUST-CD83A82338D34504A6681F0AF3F539B7,City Centre,Young Professional,Group Class,HIIT Class,Not Applicable,Front Desk,Card,No Campaign,2,15.66,0.0,31.32,0.0,31.32,16.35,14.97,False
TXN-006B2E862AB74AF8B5038AE008B4FC36,2015-02-13,2015,Q1,2,February,CUST-27F5243BB57B43B99B3D0F751561728A,Northside,Young Professional,Group Class,Yoga Class,Not Applicable,Front Desk,Card,Referral Programme,1,11.6,0.08,11.6,0.93,10.67,8.31,2.36,False
TXN-2C557F7EE4F748FF8B04288A01F792BD,2015-02-13,2015,Q1,2,February,CUST-193590EA8DBB4FE0A2E3B65899D7F0EB,Riverside,Corporate,Personal Training,Single Personal Training Session,Not Applicable,Front Desk,Card,Corporate Wellness,2,42.21,0.05,84.42,4.22,80.2,37.66,42.54,False
TXN-F233B48C3C794F679AB41BACCED1234B,2015-02-13,2015,Q1,2,February,CUST-CA57A8D2FF1C4391902FB707BAED794B,City Centre,Young Professional,Membership,Monthly Basic Membership,Basic Monthly,Front Desk,Direct Debit,No Campaign,1,45.98,0.0,45.98,0.0,45.98,14.65,31.33,True
TXN-00C186630739447D9F92414FAD4ABBB3,2015-02-14,2015,Q1,2,February,CUST-FC5E96E1160E4A1081AEC5ED1EF11965,Riverside,General,Personal Training,Single Personal Training Session,Not Applicable,Front Desk,Cash,No Campaign,2,42.4,0.0,84.8,0.0,84.8,37.96,46.84,False
TXN-6ED9EF12E8724F83B6435D4B3CC936A7,2015-02-15,2015,Q1,2,February,CUST-16ABB2D39A0F45AB90575258E4ADB0A4,City Centre,Young Professional,Supplement,Protein Powder,Not Applicable,Front Desk,Card,No Campaign,1,32.32,0.0,32.32,0.0,32.32,25.2,7.12,False
TXN-7979208019DF45DFA03D6ED7C57FA79C,2015-02-16,2015,Q1,2,February,CUST-93DB360721294A2195D3ED0BDD8FDAE6,City Centre,Corporate,Membership,Corporate Membership,Corporate Annual,Corporate Partner,Bank Transfer,Corporate Wellness,1,494.68,0.05,494.68,24.73,469.95,127.6,342.35,True
